Ensembl	Gene	"Gene description"	"Biological process"	"Molecular function"	Evidence
ENSG00000163501	IHH	"Indian hedgehog"		"Developmental protein, Hydrolase, Protease"	"Evidence at protein level"
ENSG00000136634	IL10	"Interleukin 10"		Cytokine	"Evidence at protein level"
ENSG00000095752	IL11	"Interleukin 11"		"Cytokine, Growth factor"	"Evidence at protein level"
ENSG00000168811	IL12A	"Interleukin 12A"	"Host-virus interaction"	"Cytokine, Growth factor"	"Evidence at protein level"
ENSG00000113302	IL12B	"Interleukin 12B"		Cytokine	"Evidence at protein level"
ENSG00000169194	IL13	"Interleukin 13"		Cytokine	"Evidence at protein level"
ENSG00000164136	IL15	"Interleukin 15"		Cytokine	"Evidence at protein level"
ENSG00000134470	IL15RA	"Interleukin 15 receptor subunit alpha"		Receptor	"Evidence at protein level"
ENSG00000172349	IL16	"Interleukin 16"	"Chemotaxis, Host-virus interaction, Transcription, Transcription regulation"	Cytokine	"Evidence at protein level"
ENSG00000112115	IL17A	"Interleukin 17A"		Cytokine	"Evidence at protein level"
ENSG00000127743	IL17B	"Interleukin 17B"		Cytokine	"Evidence at protein level"
ENSG00000124391	IL17C	"Interleukin 17C"	"Inflammatory response"	Cytokine	"Evidence at protein level"
ENSG00000172458	IL17D	"Interleukin 17D"		Cytokine	"Evidence at protein level"
ENSG00000112116	IL17F	"Interleukin 17F"		Cytokine	"Evidence at protein level"
ENSG00000177663	IL17RA	"Interleukin 17 receptor A"		Receptor	"Evidence at protein level"
ENSG00000150782	IL18	"Interleukin 18"	"Inflammatory response"	Cytokine	"Evidence at protein level"
ENSG00000137496	IL18BP	"Interleukin 18 binding protein"			"Evidence at protein level"
ENSG00000142224	IL19	"Interleukin 19"	Apoptosis	Cytokine	"Evidence at protein level"
ENSG00000115008	IL1A	"Interleukin 1 alpha"	"Inflammatory response"	"Cytokine, Mitogen, Pyrogen"	"Evidence at protein level"
ENSG00000125538	IL1B	"Interleukin 1 beta"	"Inflammatory response"	"Cytokine, Mitogen, Pyrogen"	"Evidence at protein level"
ENSG00000136697	IL1F10	"Interleukin 1 family member 10"		Cytokine	"Evidence at protein level"
ENSG00000115594	IL1R1	"Interleukin 1 receptor type 1"	"Inflammatory response"	"Hydrolase, Receptor"	"Evidence at protein level"
ENSG00000115590	IL1R2	"Interleukin 1 receptor type 2"		Receptor	"Evidence at protein level"
ENSG00000196083	IL1RAP	"Interleukin 1 receptor accessory protein"	"Immunity, Inflammatory response, Innate immunity"	"Hydrolase, Receptor"	"Evidence at protein level"
ENSG00000115602	IL1RL1	"Interleukin 1 receptor like 1"		"Hydrolase, Receptor"	"Evidence at protein level"
ENSG00000136689	IL1RN	"Interleukin 1 receptor antagonist"			"Evidence at protein level"
ENSG00000109471	IL2	"Interleukin 2"	"Adaptive immunity, Immunity"	"Cytokine, Growth factor"	"Evidence at protein level"
ENSG00000162891	IL20	"Interleukin 20"		Cytokine	"Evidence at protein level"
ENSG00000138684	IL21	"Interleukin 21"		Cytokine	"Evidence at protein level"
ENSG00000127318	IL22	"Interleukin 22"		Cytokine	"Evidence at protein level"
ENSG00000164485	IL22RA2	"Interleukin 22 receptor subunit alpha 2"		Receptor	"Evidence at protein level"
ENSG00000110944	IL23A	"Interleukin 23 subunit alpha"	"Antiviral defense, Immunity, Inflammatory response, Innate immunity, Tissue remodeling"	Cytokine	"Evidence at protein level"
ENSG00000162892	IL24	"Interleukin 24"	Apoptosis	Cytokine	"Evidence at protein level"
ENSG00000166090	IL25	"Interleukin 25"		Cytokine	"Evidence at protein level"
ENSG00000111536	IL26	"Interleukin 26"		Cytokine	"Evidence at protein level"
ENSG00000197272	IL27	"Interleukin 27"	"Immunity, Inflammatory response, Innate immunity"	"Antiviral protein, Cytokine"	"Evidence at protein level"
ENSG00000164399	IL3	"Interleukin 3"		"Cytokine, Growth factor"	"Evidence at protein level"
ENSG00000204671	IL31	"Interleukin 31"	Immunity	Cytokine	"Evidence at protein level"
ENSG00000008517	IL32	"Interleukin 32"		Cytokine	"Evidence at protein level"
ENSG00000137033	IL33	"Interleukin 33"	Transcription	Cytokine	"Evidence at protein level"
ENSG00000157368	IL34	"Interleukin 34"	"Immunity, Inflammatory response, Innate immunity"	"Cytokine, Growth factor"	"Evidence at protein level"
ENSG00000136694	IL36A	"Interleukin 36 alpha"	"Immunity, Inflammatory response, Innate immunity"	Cytokine	"Evidence at protein level"
ENSG00000136696	IL36B	"Interleukin 36 beta"	"Immunity, Inflammatory response, Innate immunity"	Cytokine	"Evidence at protein level"
ENSG00000136688	IL36G	"Interleukin 36 gamma"	"Immunity, Inflammatory response, Innate immunity"	Cytokine	"Evidence at protein level"
ENSG00000136695	IL36RN	"Interleukin 36 receptor antagonist"	"Immunity, Innate immunity"	Cytokine	"Evidence at protein level"
ENSG00000125571	IL37	"Interleukin 37"		Cytokine	"Evidence at protein level"
ENSG00000113520	IL4	"Interleukin 4"	"B-cell activation"	"Cytokine, Growth factor"	"Evidence at protein level"
ENSG00000104951	IL4I1	"Interleukin 4 induced 1"		Oxidoreductase	"Evidence at protein level"
ENSG00000077238	IL4R	"Interleukin 4 receptor"	Immunity	Receptor	"Evidence at protein level"
ENSG00000113525	IL5	"Interleukin 5"		"Cytokine, Growth factor"	"Evidence at protein level"
ENSG00000136244	IL6	"Interleukin 6"	"Acute phase"	"Cytokine, Growth factor"	"Evidence at protein level"
ENSG00000134352	IL6ST	"Interleukin 6 signal transducer"	"Host-virus interaction"	Receptor	"Evidence at protein level"
ENSG00000104432	IL7	"Interleukin 7"		"Cytokine, Growth factor"	"Evidence at protein level"
ENSG00000145839	IL9	"Interleukin 9"		"Cytokine, Growth factor"	"Evidence at transcript level"
ENSG00000112706	IMPG1	"Interphotoreceptor matrix proteoglycan 1"		"Heparin-binding, Receptor"	"Evidence at protein level"
ENSG00000123999	INHA	"Inhibin alpha subunit"		"Growth factor, Hormone"	"Evidence at protein level"
ENSG00000122641	INHBA	"Inhibin beta A subunit"		"Growth factor, Hormone"	"Evidence at protein level"
ENSG00000163083	INHBB	"Inhibin beta B subunit"		"Growth factor, Hormone"	"Evidence at protein level"
ENSG00000175189	INHBC	"Inhibin beta C subunit"		"Growth factor, Hormone"	"Evidence at protein level"
ENSG00000139269	INHBE	"Inhibin beta E subunit"		"Growth factor, Hormone"	"Evidence at protein level"
ENSG00000254647	INS	Insulin	"Carbohydrate metabolism, Glucose metabolism"	Hormone	"Evidence at protein level"
ENSG00000129965	INS-IGF2	"INS-IGF2 readthrough"			"Evidence at protein level"
ENSG00000248099	INSL3	"Insulin like 3"		Hormone	"Evidence at protein level"
ENSG00000120211	INSL4	"Insulin like 4"		Hormone	"Evidence at protein level"
ENSG00000172410	INSL5	"Insulin like 5"		Hormone	"Evidence at protein level"
ENSG00000120210	INSL6	"Insulin like 6"		Hormone	"Evidence at protein level"
ENSG00000187608	ISG15	"ISG15 ubiquitin-like modifier"	"Antiviral defense, Host-virus interaction, Immunity, Innate immunity, Ubl conjugation pathway"		"Evidence at protein level"
ENSG00000129009	ISLR	"Immunoglobulin superfamily containing leucine rich repeat"			"Evidence at protein level"
ENSG00000101230	ISM1	"Isthmin 1"			"Evidence at protein level"
ENSG00000100593	ISM2	"Isthmin 2"			"Evidence at protein level"
ENSG00000198542	ITGBL1	"Integrin subunit beta like 1"			"Evidence at protein level"
ENSG00000055957	ITIH1	"Inter-alpha-trypsin inhibitor heavy chain 1"		"Protease inhibitor, Serine protease inhibitor"	"Evidence at protein level"
ENSG00000151655	ITIH2	"Inter-alpha-trypsin inhibitor heavy chain 2"		"Protease inhibitor, Serine protease inhibitor"	"Evidence at protein level"
ENSG00000162267	ITIH3	"Inter-alpha-trypsin inhibitor heavy chain 3"		"Protease inhibitor, Serine protease inhibitor"	"Evidence at protein level"
ENSG00000055955	ITIH4	"Inter-alpha-trypsin inhibitor heavy chain family member 4"	"Acute phase"	"Protease inhibitor, Serine protease inhibitor"	"Evidence at protein level"
ENSG00000123243	ITIH5	"Inter-alpha-trypsin inhibitor heavy chain family member 5"			"Evidence at protein level"
ENSG00000102313	ITIH6	"Inter-alpha-trypsin inhibitor heavy chain family member 6"		"Protease inhibitor, Serine protease inhibitor"	"Evidence at protein level"
ENSG00000179914	ITLN1	"Intelectin 1"			"Evidence at protein level"
ENSG00000158764	ITLN2	"Intelectin 2"			"Evidence at protein level"
ENSG00000099840	IZUMO4	"IZUMO family member 4"			"Evidence at protein level"
ENSG00000166086	JAM3	"Junctional adhesion molecule 3"	"Angiogenesis, Cell adhesion, Differentiation, Spermatogenesis"		"Evidence at protein level"
ENSG00000132465	JCHAIN	"Joining chain of multimeric IgA and IgM"			"Evidence at protein level"
ENSG00000107821	KAZALD1	"Kazal type serine peptidase inhibitor domain 1"	"Differentiation, Osteogenesis"	"Developmental protein"	"Evidence at protein level"
ENSG00000135253	KCP	"Kielin/chordin-like protein"			"Evidence at transcript level"
ENSG00000139330	KERA	Keratocan	"Sensory transduction, Vision"		"Evidence at protein level"
ENSG00000007202	KIAA0100	KIAA0100			"Evidence at protein level"
ENSG00000137261	KIAA0319	KIAA0319	Neurogenesis	"Developmental protein"	"Evidence at protein level"
ENSG00000104970	KIR3DX1	"Killer cell immunoglobulin like receptor, three Ig domains X1"			"Evidence at transcript level"
ENSG00000170498	KISS1	"KiSS-1 metastasis suppressor"			"Evidence at protein level"
ENSG00000133116	KL	Klotho		"Glycosidase, Hormone, Hydrolase"	"Evidence at protein level"
ENSG00000167748	KLK1	"Kallikrein 1"		"Hydrolase, Protease, Serine protease"	"Evidence at protein level"
ENSG00000129451	KLK10	"Kallikrein related peptidase 10"	"Cell cycle"	"Hydrolase, Protease, Serine protease"	"Evidence at protein level"
ENSG00000167757	KLK11	"Kallikrein related peptidase 11"		"Hydrolase, Protease, Serine protease"	"Evidence at protein level"
ENSG00000186474	KLK12	"Kallikrein related peptidase 12"		"Hydrolase, Protease, Serine protease"	"Evidence at protein level"
ENSG00000167759	KLK13	"Kallikrein related peptidase 13"		"Hydrolase, Protease, Serine protease"	"Evidence at protein level"
ENSG00000129437	KLK14	"Kallikrein related peptidase 14"		"Hydrolase, Protease, Serine protease"	"Evidence at protein level"
ENSG00000174562	KLK15	"Kallikrein related peptidase 15"		"Hydrolase, Protease, Serine protease"	"Evidence at protein level"
ENSG00000167751	KLK2	"Kallikrein related peptidase 2"		"Hydrolase, Protease, Serine protease"	"Evidence at protein level"
ENSG00000142515	KLK3	"Kallikrein related peptidase 3"		"Hydrolase, Protease, Serine protease"	"Evidence at protein level"
ENSG00000167749	KLK4	"Kallikrein related peptidase 4"	Biomineralization	"Hydrolase, Protease, Serine protease"	"Evidence at protein level"
ENSG00000167754	KLK5	"Kallikrein related peptidase 5"		"Hydrolase, Protease, Serine protease"	"Evidence at protein level"
ENSG00000167755	KLK6	"Kallikrein related peptidase 6"		"Hydrolase, Protease, Serine protease"	"Evidence at protein level"
ENSG00000169035	KLK7	"Kallikrein related peptidase 7"		"Hydrolase, Protease, Serine protease"	"Evidence at protein level"
ENSG00000129455	KLK8	"Kallikrein related peptidase 8"		"Hydrolase, Protease, Serine protease"	"Evidence at protein level"
ENSG00000213022	KLK9	"Kallikrein related peptidase 9"		"Hydrolase, Protease, Serine protease"	"Evidence at protein level"
ENSG00000164344	KLKB1	"Kallikrein B1"	"Blood coagulation, Fibrinolysis, Hemostasis, Inflammatory response"	"Hydrolase, Protease, Serine protease"	"Evidence at protein level"
ENSG00000113889	KNG1	"Kininogen 1"	"Blood coagulation, Hemostasis, Inflammatory response"	"Protease inhibitor, Thiol protease inhibitor, Vasoactive, Vasodilator"	"Evidence at protein level"
ENSG00000188508	KRTDAP	"Keratinocyte differentiation associated protein"	Differentiation		"Evidence at protein level"
ENSG00000135413	LACRT	Lacritin			"Evidence at protein level"
ENSG00000159166	LAD1	"Ladinin 1"			"Evidence at protein level"
ENSG00000089692	LAG3	"Lymphocyte activating 3"	"Adaptive immunity, Immunity"		"Evidence at protein level"
ENSG00000167618	LAIR2	"Leukocyte associated immunoglobulin like receptor 2"		Receptor	"Evidence at protein level"
ENSG00000167531	LALBA	"Lactalbumin alpha"	"Lactose biosynthesis"	"Milk protein"	"Evidence at protein level"
ENSG00000101680	LAMA1	"Laminin subunit alpha 1"	"Cell adhesion"		"Evidence at protein level"
ENSG00000196569	LAMA2	"Laminin subunit alpha 2"	"Cell adhesion"		"Evidence at protein level"
ENSG00000053747	LAMA3	"Laminin subunit alpha 3"	"Cell adhesion"		"Evidence at protein level"
ENSG00000112769	LAMA4	"Laminin subunit alpha 4"	"Cell adhesion"		"Evidence at protein level"
ENSG00000130702	LAMA5	"Laminin subunit alpha 5"	"Cell adhesion"		"Evidence at protein level"
ENSG00000091136	LAMB1	"Laminin subunit beta 1"	"Cell adhesion"		"Evidence at protein level"
ENSG00000172037	LAMB2	"Laminin subunit beta 2"	"Cell adhesion"		"Evidence at protein level"
ENSG00000196878	LAMB3	"Laminin subunit beta 3"	"Cell adhesion"		"Evidence at protein level"
ENSG00000091128	LAMB4	"Laminin subunit beta 4"	"Cell adhesion"		"Evidence at protein level"
ENSG00000135862	LAMC1	"Laminin subunit gamma 1"	"Cell adhesion"		"Evidence at protein level"
ENSG00000058085	LAMC2	"Laminin subunit gamma 2"	"Cell adhesion"	Heparin-binding	"Evidence at protein level"
ENSG00000050555	LAMC3	"Laminin subunit gamma 3"	"Cell adhesion"		"Evidence at protein level"
ENSG00000129988	LBP	"Lipopolysaccharide binding protein"	"Immunity, Innate immunity, Lipid transport, Transport"	"Antibiotic, Antimicrobial"	"Evidence at protein level"
ENSG00000213398	LCAT	"Lecithin-cholesterol acyltransferase"	"Cholesterol metabolism, Lipid metabolism, Steroid metabolism, Sterol metabolism"	"Acyltransferase, Hydrolase, Transferase"	"Evidence at protein level"
ENSG00000160349	LCN1	"Lipocalin 1"	"Sensory transduction, Taste, Transport"		"Evidence at protein level"
ENSG00000187922	LCN10	"Lipocalin 10"	Transport		"Evidence at protein level"
ENSG00000184925	LCN12	"Lipocalin 12"	Transport		"Evidence at transcript level"
ENSG00000177984	LCN15	"Lipocalin 15"			"Evidence at protein level"
ENSG00000148346	LCN2	"Lipocalin 2"	"Apoptosis, Immunity, Innate immunity, Ion transport, Iron transport, Transport"		"Evidence at protein level"
ENSG00000267206	LCN6	"Lipocalin 6"	Fertilization		"Evidence at protein level"
ENSG00000204001	LCN8	"Lipocalin 8"	Transport		"Evidence at transcript level"
ENSG00000148386	LCN9	"Lipocalin 9"	Transport		"Evidence at protein level"
ENSG00000187942	LDLRAD2	"Low density lipoprotein receptor class A domain containing 2"		Receptor	"Evidence at protein level"
ENSG00000164406	LEAP2	"Liver enriched antimicrobial peptide 2"		"Antibiotic, Antimicrobial"	"Evidence at protein level"
ENSG00000145826	LECT2	"Leukocyte cell derived chemotaxin 2"	Chemotaxis		"Evidence at protein level"
ENSG00000243709	LEFTY1	"Left-right determination factor 1"		"Cytokine, Developmental protein, Growth factor"	"Evidence at protein level"
ENSG00000143768	LEFTY2	"Left-right determination factor 2"		"Cytokine, Developmental protein, Growth factor"	"Evidence at protein level"
ENSG00000174697	LEP	Leptin			"Evidence at protein level"
ENSG00000116678	LEPR	"Leptin receptor"		Receptor	"Evidence at protein level"
ENSG00000100097	LGALS1	"Galectin 1"	Apoptosis		"Evidence at protein level"
ENSG00000131981	LGALS3	"Galectin 3"	"Differentiation, Immunity, Innate immunity, mRNA processing, mRNA splicing"	"IgE-binding protein"	"Evidence at protein level"
ENSG00000108679	LGALS3BP	"Galectin 3 binding protein"	"Cell adhesion"		"Evidence at protein level"
ENSG00000168961	LGALS9	"Galectin 9"	"Chemotaxis, Immunity"		"Evidence at protein level"
ENSG00000108231	LGI1	"Leucine rich glioma inactivated 1"			"Evidence at protein level"
ENSG00000153012	LGI2	"Leucine rich repeat LGI family member 2"			"Evidence at protein level"
ENSG00000168481	LGI3	"Leucine rich repeat LGI family member 3"	Exocytosis		"Evidence at protein level"
ENSG00000153902	LGI4	"Leucine rich repeat LGI family member 4"			"Evidence at protein level"
ENSG00000104826	LHB	"Luteinizing hormone beta polypeptide"		Hormone	"Evidence at protein level"
ENSG00000128342	LIF	"LIF, interleukin 6 family cytokine"		"Cytokine, Growth factor"	"Evidence at protein level"
ENSG00000239998	LILRA2	"Leukocyte immunoglobulin like receptor A2"	"Immunity, Innate immunity"	Receptor	"Evidence at protein level"
ENSG00000187116	LILRA5	"Leukocyte immunoglobulin like receptor A5"	"Immunity, Innate immunity"	Receptor	"Evidence at protein level"
ENSG00000166035	LIPC	"Lipase C, hepatic type"	"Lipid degradation, Lipid metabolism"	"Heparin-binding, Hydrolase"	"Evidence at protein level"
ENSG00000182333	LIPF	"Lipase F, gastric type"	"Lipid degradation, Lipid metabolism"	Hydrolase	"Evidence at protein level"
ENSG00000101670	LIPG	"Lipase G, endothelial type"	"Lipid degradation, Lipid metabolism"	"Heparin-binding, Hydrolase"	"Evidence at protein level"
ENSG00000163898	LIPH	"Lipase H"	"Lipid degradation, Lipid metabolism"	"Heparin-binding, Hydrolase"	"Evidence at protein level"
ENSG00000188992	LIPI	"Lipase I"	"Lipid degradation, Lipid metabolism"	"Heparin-binding, Hydrolase"	"Evidence at protein level"
ENSG00000204021	LIPK	"Lipase family member K"	"Lipid degradation, Lipid metabolism"	Hydrolase	"Evidence at transcript level"
ENSG00000173239	LIPM	"Lipase family member M"	"Lipid degradation, Lipid metabolism"	Hydrolase	"Evidence at transcript level"
ENSG00000204020	LIPN	"Lipase family member N"	"Lipid degradation, Lipid metabolism"	Hydrolase	"Evidence at transcript level"
ENSG00000113083	LOX	"Lysyl oxidase"		Oxidoreductase	"Evidence at protein level"
ENSG00000129038	LOXL1	"Lysyl oxidase like 1"		Oxidoreductase	"Evidence at protein level"
ENSG00000134013	LOXL2	"Lysyl oxidase like 2"	"Transcription, Transcription regulation"	"Chromatin regulator, Oxidoreductase, Repressor"	"Evidence at protein level"
ENSG00000115318	LOXL3	"Lysyl oxidase like 3"	"Inflammatory response"	Oxidoreductase	"Evidence at protein level"
ENSG00000138131	LOXL4	"Lysyl oxidase like 4"		Oxidoreductase	"Evidence at protein level"
ENSG00000198670	LPA	Lipoprotein(a)	"Lipid transport, Transport"	"Hydrolase, Protease, Serine protease"	"Evidence at protein level"
ENSG00000175445	LPL	"Lipoprotein lipase"	"Lipid degradation, Lipid metabolism"	"Heparin-binding, Hydrolase"	"Evidence at protein level"
ENSG00000167419	LPO	Lactoperoxidase	"Hydrogen peroxide"	"Antimicrobial, Oxidoreductase, Peroxidase"	"Evidence at protein level"
ENSG00000186001	LRCH3	"Leucine rich repeats and calponin homology domain containing 3"			"Evidence at protein level"
ENSG00000204583	LRCOL1	"Leucine rich colipase like 1"			"Evidence at protein level"
ENSG00000171236	LRG1	"Leucine rich alpha-2-glycoprotein 1"			"Evidence at protein level"
ENSG00000157193	LRP8	"LDL receptor related protein 8"	Endocytosis	Receptor	"Evidence at protein level"
ENSG00000128606	LRRC17	"Leucine rich repeat containing 17"	Osteogenesis		"Evidence at protein level"
ENSG00000226979	LTA	"Lymphotoxin alpha"		Cytokine	"Evidence at protein level"
ENSG00000049323	LTBP1	"Latent transforming growth factor beta binding protein 1"		"Growth factor binding"	"Evidence at protein level"
ENSG00000119681	LTBP2	"Latent transforming growth factor beta binding protein 2"		"Growth factor binding, Heparin-binding"	"Evidence at protein level"
ENSG00000168056	LTBP3	"Latent transforming growth factor beta binding protein 3"		"Growth factor binding"	"Evidence at protein level"
ENSG00000090006	LTBP4	"Latent transforming growth factor beta binding protein 4"		"Growth factor binding"	"Evidence at protein level"
ENSG00000012223	LTF	Lactotransferrin	"Immunity, Ion transport, Iron transport, Osteogenesis, Transcription, Transcription regulation, Transport"	"Antibiotic, Antimicrobial, DNA-binding, Heparin-binding, Hydrolase, Protease, Serine protease"	"Evidence at protein level"
ENSG00000139329	LUM	Lumican			"Evidence at protein level"
ENSG00000187398	LUZP2	"Leucine zipper protein 2"			"Evidence at protein level"
ENSG00000240053	LY6G5B	"Lymphocyte antigen 6 family member G5B"			"Evidence at protein level"
ENSG00000204428	LY6G5C	"Lymphocyte antigen 6 family member G5C"			"Evidence at protein level"
ENSG00000160886	LY6K	"Lymphocyte antigen 6 family member K"			"Evidence at protein level"
ENSG00000112799	LY86	"Lymphocyte antigen 86"	"Immunity, Inflammatory response, Innate immunity"		"Evidence at protein level"
ENSG00000154589	LY96	"Lymphocyte antigen 96"	"Immunity, Inflammatory response, Innate immunity"		"Evidence at protein level"
ENSG00000144214	LYG1	"Lysozyme g1"		"Glycosidase, Hydrolase"	"Evidence at transcript level"
ENSG00000185674	LYG2	"Lysozyme g2"		"Glycosidase, Hydrolase"	"Evidence at protein level"
ENSG00000187123	LYPD6	"LY6/PLAUR domain containing 6"			"Evidence at protein level"
ENSG00000259823	LYPD8	"LY6/PLAUR domain containing 8"			"Evidence at protein level"
ENSG00000090382	LYZ	Lysozyme		"Antimicrobial, Bacteriolytic enzyme, Glycosidase, Hydrolase"	"Evidence at protein level"
ENSG00000120563	LYZL1	"Lysozyme like 1"		"Glycosidase, Hydrolase"	"Evidence at transcript level"
ENSG00000151033	LYZL2	"Lysozyme like 2"		"Glycosidase, Hydrolase"	"Evidence at protein level"
ENSG00000157093	LYZL4	"Lysozyme like 4"	Fertilization		"Evidence at protein level"
ENSG00000275722	LYZL6	"Lysozyme like 6"	Fertilization	"Antimicrobial, Bacteriolytic enzyme, Glycosidase, Hydrolase"	"Evidence at protein level"
ENSG00000165072	MAMDC2	"MAM domain containing 2"			"Evidence at protein level"
ENSG00000013288	MAN2B2	"Mannosidase alpha class 2B member 2"		"Glycosidase, Hydrolase"	"Evidence at protein level"
ENSG00000145050	MANF	"Mesencephalic astrocyte derived neurotrophic factor"			"Evidence at protein level"
ENSG00000127241	MASP1	"Mannan binding lectin serine peptidase 1"	"Complement activation lectin pathway, Immunity, Innate immunity"	"Hydrolase, Protease, Serine protease"	"Evidence at protein level"
ENSG00000009724	MASP2	"Mannan binding lectin serine peptidase 2"	"Complement pathway, Immunity, Innate immunity"	"Hydrolase, Protease, Serine protease"	"Evidence at protein level"
ENSG00000162510	MATN1	"Matrilin 1, cartilage matrix protein"			"Evidence at protein level"
ENSG00000132561	MATN2	"Matrilin 2"			"Evidence at protein level"
ENSG00000132031	MATN3	"Matrilin 3"			"Evidence at protein level"
ENSG00000124159	MATN4	"Matrilin 4"			"Evidence at protein level"
ENSG00000165471	MBL2	"Mannose binding lectin 2"	"Complement activation lectin pathway, Complement pathway, Immunity, Innate immunity"		"Evidence at protein level"
ENSG00000110492	MDK	Midkine	Differentiation	"Developmental protein, Growth factor, Heparin-binding, Mitogen"	"Evidence at protein level"
ENSG00000162591	MEGF6	"Multiple EGF like domains 6"			"Evidence at protein level"
ENSG00000167077	MEI1	"Meiotic double-stranded break formation protein 1"	Meiosis		"Evidence at transcript level"
ENSG00000141434	MEP1B	"Meprin A subunit beta"	"Inflammatory response"	"Hydrolase, Metalloprotease, Protease"	"Evidence at protein level"
ENSG00000152595	MEPE	"Matrix extracellular phosphoglycoprotein"	Biomineralization		"Evidence at protein level"
ENSG00000105976	MET	"MET proto-oncogene, receptor tyrosine kinase"		"Kinase, Receptor, Transferase, Tyrosine-protein kinase"	"Evidence at protein level"
ENSG00000103260	METRN	"Meteorin, glial cell differentiation regulator"	"Differentiation, Neurogenesis"	"Developmental protein"	"Evidence at protein level"
ENSG00000176845	METRNL	"Meteorin like, glial cell differentiation regulator"		Hormone	"Evidence at protein level"
ENSG00000053328	METTL24	"Methyltransferase like 24"		"Methyltransferase, Transferase"	"Evidence at transcript level"
ENSG00000197006	METTL9	"Methyltransferase like 9"			"Evidence at protein level"
ENSG00000117122	MFAP2	"Microfibril associated protein 2"			"Evidence at protein level"
ENSG00000166482	MFAP4	"Microfibril associated protein 4"	"Cell adhesion"		"Evidence at protein level"
ENSG00000197614	MFAP5	"Microfibril associated protein 5"			"Evidence at protein level"
ENSG00000140545	MFGE8	"Milk fat globule-EGF factor 8 protein"	"Angiogenesis, Cell adhesion, Fertilization"		"Evidence at protein level"
ENSG00000071073	MGAT4A	"Mannosyl (alpha-1,3-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase, isozyme A"		"Glycosyltransferase, Transferase"	"Evidence at protein level"
ENSG00000111341	MGP	"Matrix Gla protein"	"Chondrogenesis, Differentiation, Osteogenesis"	"Developmental protein"	"Evidence at protein level"
ENSG00000261857	MIA	"Melanoma inhibitory activity"		"Growth factor"	"Evidence at protein level"
ENSG00000240972	MIF	"Macrophage migration inhibitory factor"	"Immunity, Inflammatory response, Innate immunity"	"Cytokine, Isomerase"	"Evidence at protein level"
ENSG00000096395	MLN	Motilin		Hormone	"Evidence at protein level"
ENSG00000196611	MMP1	"Matrix metallopeptidase 1"	"Collagen degradation, Host-virus interaction"	"Hydrolase, Metalloprotease, Protease"	"Evidence at protein level"
ENSG00000166670	MMP10	"Matrix metallopeptidase 10"	"Collagen degradation"	"Hydrolase, Metalloprotease, Protease"	"Evidence at protein level"
ENSG00000099953	MMP11	"Matrix metallopeptidase 11"	"Collagen degradation"	"Hydrolase, Metalloprotease, Protease"	"Evidence at protein level"
ENSG00000262406	MMP12	"Matrix metallopeptidase 12"		"Hydrolase, Metalloprotease, Protease"	"Evidence at protein level"
ENSG00000137745	MMP13	"Matrix metallopeptidase 13"	"Collagen degradation"	"Hydrolase, Metalloprotease, Protease"	"Evidence at protein level"
ENSG00000156103	MMP16	"Matrix metallopeptidase 16"	"Collagen degradation"	"Hydrolase, Metalloprotease, Protease"	"Evidence at protein level"
ENSG00000198598	MMP17	"Matrix metallopeptidase 17"		"Hydrolase, Metalloprotease, Protease"	"Evidence at protein level"
ENSG00000123342	MMP19	"Matrix metallopeptidase 19"	"Angiogenesis, Collagen degradation, Differentiation"	"Developmental protein, Hydrolase, Metalloprotease, Protease"	"Evidence at protein level"
ENSG00000087245	MMP2	"Matrix metallopeptidase 2"	"Angiogenesis, Collagen degradation"	"Hydrolase, Metalloprotease, Protease"	"Evidence at protein level"
ENSG00000137674	MMP20	"Matrix metallopeptidase 20"		"Hydrolase, Metalloprotease, Protease"	"Evidence at protein level"
ENSG00000154485	MMP21	"Matrix metallopeptidase 21"		"Hydrolase, Metalloprotease, Protease"	"Evidence at transcript level"
ENSG00000125966	MMP24	"Matrix metallopeptidase 24"	"Cell adhesion"	"Hydrolase, Metalloprotease, Protease"	"Evidence at protein level"
ENSG00000008516	MMP25	"Matrix metallopeptidase 25"		"Hydrolase, Metalloprotease, Protease"	"Evidence at protein level"
ENSG00000167346	MMP26	"Matrix metallopeptidase 26"	"Collagen degradation"	"Hydrolase, Metalloprotease, Protease"	"Evidence at transcript level"
ENSG00000271447	MMP28	"Matrix metallopeptidase 28"		"Hydrolase, Metalloprotease, Protease"	"Evidence at protein level"
ENSG00000149968	MMP3	"Matrix metallopeptidase 3"	"Collagen degradation"	"Hydrolase, Metalloprotease, Protease"	"Evidence at protein level"
ENSG00000137673	MMP7	"Matrix metallopeptidase 7"	"Collagen degradation"	"Hydrolase, Metalloprotease, Protease"	"Evidence at protein level"
ENSG00000118113	MMP8	"Matrix metallopeptidase 8"	"Collagen degradation"	"Hydrolase, Metalloprotease, Protease"	"Evidence at protein level"
ENSG00000100985	MMP9	"Matrix metallopeptidase 9"	"Collagen degradation"	"Hydrolase, Metalloprotease, Protease"	"Evidence at protein level"
ENSG00000138722	MMRN1	"Multimerin 1"			"Evidence at protein level"
ENSG00000173269	MMRN2	"Multimerin 2"	Angiogenesis		"Evidence at protein level"
ENSG00000263639	MSMB	"Microseminoprotein beta"			"Evidence at protein level"
